,Date,Open,High,Low,Close,Adj Close,Volume
0,2023-02-01,143.97000122070312,146.61000061035156,141.32000732421875,145.42999267578125,145.00770568847656,77663600
1,2023-02-02,148.89999389648438,151.17999267578125,148.1699981689453,150.82000732421875,150.382080078125,118339000
2,2023-02-03,148.02999877929688,157.3800048828125,147.8300018310547,154.5,154.05137634277344,154357300
3,2023-02-06,152.57000732421875,153.10000610351562,150.77999877929688,151.72999572753906,151.2894287109375,69858300
4,2023-02-07,150.63999938964844,155.22999572753906,150.63999938964844,154.64999389648438,154.20094299316406,83322600
5,2023-02-08,153.8800048828125,154.5800018310547,151.1699981689453,151.9199981689453,151.4788818359375,64120100
6,2023-02-09,153.77999877929688,154.3300018310547,150.4199981689453,150.8699951171875,150.4319305419922,56007100
7,2023-02-10,149.4600067138672,151.33999633789062,149.22000122070312,151.00999450683594,150.80140686035156,57450700
8,2023-02-13,150.9499969482422,154.25999450683594,150.9199981689453,153.85000610351562,153.6374969482422,62199000
9,2023-02-14,152.1199951171875,153.77000427246094,150.86000061035156,153.1999969482422,152.98838806152344,61707600
10,2023-02-15,153.11000061035156,155.5,152.8800048828125,155.3300018310547,155.11544799804688,65573800
11,2023-02-16,153.50999450683594,156.3300018310547,153.35000610351562,153.7100067138672,153.49769592285156,68167900
12,2023-02-17,152.35000610351562,153.0,150.85000610351562,152.5500030517578,152.33929443359375,59144100
13,2023-02-21,150.1999969482422,151.3000030517578,148.41000366210938,148.47999572753906,148.27490234375,58867200
14,2023-02-22,148.8699951171875,149.9499969482422,147.16000366210938,148.91000366210938,148.70431518554688,51011300
15,2023-02-23,150.08999633789062,150.33999633789062,147.24000549316406,149.39999389648438,149.19363403320312,48394200
16,2023-02-24,147.11000061035156,147.19000244140625,145.72000122070312,146.7100067138672,146.50735473632812,55469600
17,2023-02-27,147.7100067138672,149.1699981689453,147.4499969482422,147.9199981689453,147.71568298339844,44998500
18,2023-02-28,147.0500030517578,149.0800018310547,146.8300018310547,147.41000366210938,147.20639038085938,50547000
19,2023-03-01,146.8300018310547,147.22999572753906,145.00999450683594,145.30999755859375,145.10928344726562,55479000
20,2023-03-02,144.3800048828125,146.7100067138672,143.89999389648438,145.91000366210938,145.70846557617188,52238100
21,2023-03-03,148.0399932861328,151.11000061035156,147.3300018310547,151.02999877929688,150.82138061523438,70732300
22,2023-03-06,153.7899932861328,156.3000030517578,153.4600067138672,153.8300018310547,153.61752319335938,87558000
23,2023-03-07,153.6999969482422,154.02999877929688,151.1300048828125,151.60000610351562,151.39060974121094,56182000
24,2023-03-08,152.80999755859375,153.47000122070312,151.8300018310547,152.8699951171875,152.65884399414062,47204800
25,2023-03-09,153.55999755859375,154.5399932861328,150.22999572753906,150.58999633789062,150.38198852539062,53833600
26,2023-03-10,150.2100067138672,150.94000244140625,147.61000061035156,148.5,148.2948760986328,68572400
27,2023-03-13,147.80999755859375,153.13999938964844,147.6999969482422,150.47000122070312,150.2621612548828,84457100
28,2023-03-14,151.27999877929688,153.39999389648438,150.10000610351562,152.58999633789062,152.3792266845703,73695900
29,2023-03-15,151.19000244140625,153.25,149.9199981689453,152.99000549316406,152.7786865234375,77167900
30,2023-03-16,152.16000366210938,156.4600067138672,151.63999938964844,155.85000610351562,155.63473510742188,76161100
31,2023-03-17,156.0800018310547,156.74000549316406,154.27999877929688,155.0,154.78590393066406,98944600
32,2023-03-20,155.07000732421875,157.82000732421875,154.14999389648438,157.39999389648438,157.18258666992188,73641400
33,2023-03-21,157.32000732421875,159.39999389648438,156.5399932861328,159.27999877929688,159.0599822998047,73938300
34,2023-03-22,159.3000030517578,162.13999938964844,157.80999755859375,157.8300018310547,157.61199951171875,75701800
35,2023-03-23,158.8300018310547,161.5500030517578,157.67999267578125,158.92999267578125,158.71046447753906,67622100
36,2023-03-24,158.86000061035156,160.33999633789062,157.85000610351562,160.25,160.02865600585938,59196500
37,2023-03-27,159.94000244140625,160.77000427246094,157.8699951171875,158.27999877929688,158.06137084960938,52390300
38,2023-03-28,157.97000122070312,158.49000549316406,155.97999572753906,157.64999389648438,157.43223571777344,45992200
39,2023-03-29,159.3699951171875,161.0500030517578,159.35000610351562,160.77000427246094,160.54794311523438,51305700
40,2023-03-30,161.52999877929688,162.47000122070312,161.27000427246094,162.36000061035156,162.1357421875,49501700
41,2023-03-31,162.44000244140625,165.0,161.91000366210938,164.89999389648438,164.67222595214844,68749800
42,2023-04-03,164.27000427246094,166.2899932861328,164.22000122070312,166.1699981689453,165.9404754638672,56976200
43,2023-04-04,166.60000610351562,166.83999633789062,165.11000061035156,165.6300048828125,165.40122985839844,46278300
44,2023-04-05,164.74000549316406,165.0500030517578,161.8000030517578,163.75999450683594,163.53379821777344,51511700
45,2023-04-06,162.42999267578125,164.9600067138672,162.0,164.66000366210938,164.43255615234375,45390100
46,2023-04-10,161.4199981689453,162.02999877929688,160.0800018310547,162.02999877929688,161.80618286132812,47716900
47,2023-04-11,162.35000610351562,162.36000061035156,160.50999450683594,160.8000030517578,160.57789611816406,47644200
48,2023-04-12,161.22000122070312,162.05999755859375,159.77999877929688,160.10000610351562,159.8788604736328,50133100
49,2023-04-13,161.6300048828125,165.8000030517578,161.4199981689453,165.55999755859375,165.33131408691406,68445600
50,2023-04-14,164.58999633789062,166.32000732421875,163.82000732421875,165.2100067138672,164.9818115234375,49386500
51,2023-04-17,165.08999633789062,165.38999938964844,164.02999877929688,165.22999572753906,165.00177001953125,41516200
52,2023-04-18,166.10000610351562,167.41000366210938,165.64999389648438,166.47000122070312,166.2400665283203,49923000
53,2023-04-19,165.8000030517578,168.16000366210938,165.5399932861328,167.6300048828125,167.39846801757812,47720200
54,2023-04-20,166.08999633789062,167.8699951171875,165.55999755859375,166.64999389648438,166.4197998046875,52456400
55,2023-04-21,165.0500030517578,166.4499969482422,164.49000549316406,165.02000427246094,164.7920684814453,58337300
56,2023-04-24,165.0,165.60000610351562,163.88999938964844,165.3300018310547,165.1016387939453,41949600
57,2023-04-25,165.19000244140625,166.30999755859375,163.72999572753906,163.77000427246094,163.54379272460938,48714100
58,2023-04-26,163.05999755859375,165.27999877929688,162.8000030517578,163.75999450683594,163.53379821777344,45498800
59,2023-04-27,165.19000244140625,168.55999755859375,165.19000244140625,168.41000366210938,168.17738342285156,64902300
60,2023-04-28,168.49000549316406,169.85000610351562,167.8800048828125,169.67999267578125,169.44561767578125,55209200
61,2023-05-01,169.27999877929688,170.4499969482422,168.63999938964844,169.58999633789062,169.35574340820312,52472900
62,2023-05-02,170.08999633789062,170.35000610351562,167.5399932861328,168.5399932861328,168.30718994140625,48425700
63,2023-05-03,169.5,170.9199981689453,167.16000366210938,167.4499969482422,167.2187042236328,65136000
64,2023-05-04,164.88999938964844,167.0399932861328,164.30999755859375,165.7899932861328,165.5609893798828,81235400
65,2023-05-05,170.97999572753906,174.3000030517578,170.75999450683594,173.57000732421875,173.33026123046875,113316400
66,2023-05-08,172.47999572753906,173.85000610351562,172.11000061035156,173.5,173.26034545898438,55962800
67,2023-05-09,173.0500030517578,173.5399932861328,171.60000610351562,171.77000427246094,171.53274536132812,45326900
68,2023-05-10,173.02000427246094,174.02999877929688,171.89999389648438,173.55999755859375,173.3202667236328,53724500
69,2023-05-11,173.85000610351562,174.58999633789062,172.1699981689453,173.75,173.510009765625,49514700
70,2023-05-12,173.6199951171875,174.05999755859375,171.0,172.57000732421875,172.57000732421875,45497800
71,2023-05-15,173.16000366210938,173.2100067138672,171.47000122070312,172.07000732421875,172.07000732421875,37266700
72,2023-05-16,171.99000549316406,173.13999938964844,171.8000030517578,172.07000732421875,172.07000732421875,42110300
73,2023-05-17,171.7100067138672,172.92999267578125,170.4199981689453,172.69000244140625,172.69000244140625,57951600
74,2023-05-18,173.0,175.24000549316406,172.5800018310547,175.0500030517578,175.0500030517578,65496700
75,2023-05-19,176.38999938964844,176.38999938964844,174.94000244140625,175.16000366210938,175.16000366210938,55772400
76,2023-05-22,173.97999572753906,174.7100067138672,173.4499969482422,174.1999969482422,174.1999969482422,43570900
77,2023-05-23,173.1300048828125,173.3800048828125,171.27999877929688,171.55999755859375,171.55999755859375,50747300
78,2023-05-24,171.08999633789062,172.4199981689453,170.52000427246094,171.83999633789062,171.83999633789062,45143500
79,2023-05-25,172.41000366210938,173.89999389648438,171.69000244140625,172.99000549316406,172.99000549316406,56058300
80,2023-05-26,173.32000732421875,175.77000427246094,173.11000061035156,175.42999267578125,175.42999267578125,54835000
81,2023-05-30,176.9600067138672,178.99000549316406,176.57000732421875,177.3000030517578,177.3000030517578,55964400
82,2023-05-31,177.3300018310547,179.35000610351562,176.75999450683594,177.25,177.25,99625300
83,2023-06-01,177.6999969482422,180.1199951171875,176.92999267578125,180.08999633789062,180.08999633789062,68901800
